Overall_Portfolio_Delta,Overall_Portfolio_Vega,Overall_Portfolio_Theta,Overall_Portfolio_Gamma,Portfolio_Running_Balance
12.946395778645684,1.328560552907649,-724.4941589264367,7.32651636174227e-06,66209276.275000006
13.946395667524731,1.3285442939187124,-716.2232751397246,7.3264926225467595e-06,66209276.275000006
13.946395667524731,1.3285442939187124,-716.2232751397246,7.3264926225467595e-06,66209276.275000006
14.069287136577945,1.33225309629888,-933.1964561309985,2.794985132578092e-05,67486542.47500001
14.069287136577945,1.33225309629888,-933.1964561309985,2.794985132578092e-05,67486542.47500001
14.122758288099966,1.3336393143289218,-1010.9477182102526,2.7874589623047572e-05,67486846.075
14.122758288099966,1.3336393143289218,-1010.9477182102526,2.7874589623047572e-05,67486846.075
15.12275852577276,1.3334574707767946,-1002.144602684949,2.6965094921274644e-05,67486846.075
16.12275851920725,1.333456037601537,-997.8028443302367,2.6965095207429285e-05,67486846.075
17.122758566568184,1.3336467250103947,-992.3575273464066,2.6964978198358182e-05,67672608.575
18.122050770391827,1.3323347759017548,-985.6272745924483,7.087696438527084,67672608.575
18.122050770391827,1.3323347759017548,-985.6272745924483,7.087696438527084,67672608.575
19.12205031862551,1.332654154561955,-975.9787090169183,7.0876964384744445,67672608.575
20.122050295182376,1.3326384228956742,-968.0980281808347,7.087706897663515,67672608.575
20.122050295182376,1.3326384228956742,-968.0980281808347,7.087706897663515,67672608.575
21.1220478667624,1.3325061191561547,-958.6180400578548,7.087701440695304,67672608.575
21.1220478667624,1.3325061191561547,-958.6180400578548,7.087701440695304,67672608.575
21.1220478667624,1.3325061191561547,-958.6180400578548,7.087701440695304,67672608.575
21.1220478667624,1.3325061191561547,-958.6180400578548,7.087701440695304,67672608.575
21.1220478667624,1.3325061191561547,-958.6180400578548,7.087701440695304,67672608.575
21.1220478667624,1.3325061191561547,-958.6180400578548,7.087701440695304,67672608.575
22.122047867329925,1.3325049498188166,-949.3777717460302,7.087696893221795,67672608.575
22.122047867329925,1.3325049498188166,-949.3777717460302,7.087696893221795,67672608.575
22.122047867329925,1.3325049498188166,-949.3777717460302,7.087696893221795,67672608.575
22.122047867329925,1.3325049498188166,-949.3777717460302,7.087696893221795,67672608.575
22.122047867329925,1.3325049498188166,-949.3777717460302,7.087696893221795,67672608.575
22.122047867329925,1.3325049498188166,-949.3777717460302,7.087696893221795,67672608.575
23.122047881155353,1.3325010056125488,-940.9567372918267,7.087696893220553,67672608.575
24.122048144384948,1.3311266290604276,-932.4329277290489,7.087699621704658,67672608.575
24.122048144384948,1.3311266290604276,-932.4329277290489,7.087699621704658,67672608.575
24.122048144384948,1.3311266290604276,-932.4329277290489,7.087699621704658,67672608.575
24.122048144384948,1.3311266290604276,-932.4329277290489,7.087699621704658,67672608.575
24.122048144384948,1.3311266290604276,-932.4329277290489,7.087699621704658,67672608.575
25.122048153734553,1.3311377032334675,-928.0908055330432,7.0876996217046155,67672608.575
26.122048166307408,1.331362071256295,-923.8545185905299,7.0876959837258084,67672608.575
27.122047611401044,1.3316580181492426,-919.3014593639033,7.087694164736405,67672608.575
28.122047571041307,1.331759887422082,-914.8537789628188,7.087692800494352,67672608.575
28.122047571041307,1.331759887422082,-914.8537789628188,7.087692800494352,67672608.575
28.122047571041307,1.331759887422082,-914.8537789628188,7.087692800494352,67672608.575
28.122047571041307,1.331759887422082,-914.8537789628188,7.087692800494352,67672608.575
28.122047571041307,1.331759887422082,-914.8537789628188,7.087692800494352,67672608.575
28.25808343916809,24.51873282746077,-1212.3106264583691,7.087734637250634,67672608.575
29.258083440201794,24.51873448501857,-1210.1681905097034,7.087734637250568,67672627.9
29.258083440201794,24.51873448501857,-1210.1681905097034,7.087734637250568,67672627.9
29.258083440201794,24.51873448501857,-1210.1681905097034,7.087734637250568,67672627.9
30.25808344258831,24.518726814613103,-1200.848322078135,7.087731908766463,67672627.9
30.25808344258831,24.518726814613103,-1200.848322078135,7.087731908766463,67672627.9
31.25808370145233,24.517863736382708,-1193.135424446363,7.087700531199252,67672627.9
31.25808370145233,24.517863736382708,-1193.135424446363,7.087700531199252,67672627.9
31.25808370145233,24.517863736382708,-1193.135424446363,7.087700531199252,67672627.9
32.25808369517957,24.517866479210493,-1184.267206685331,7.087700531199199,67730498.35000001
33.25808362676192,24.517279877728793,-1178.6092040545823,7.087692345746883,67730498.35000001
34.258084772928974,24.517279942211967,-1171.7544760704436,7.087681431810462,67730498.35000001
34.258084772928974,24.517279942211967,-1171.7544760704436,7.087681431810462,67730498.35000001
34.258084772928974,24.517279942211967,-1171.7544760704436,7.087681431810462,67730498.35000001
35.257560771307304,24.516998652872058,-1165.009201986587,12.330532761777842,67730498.35000001
36.25756076623596,24.51701354903103,-1155.7602987126081,12.330537309251351,67730498.35000001
36.25756076623596,24.51701354903103,-1155.7602987126081,12.330537309251351,67730498.35000001
37.257560872623195,24.517276690631984,-1150.4070885785202,12.330537309251351,67730498.35000001
37.257560872623195,24.517276690631984,-1150.4070885785202,12.330537309251351,67730498.35000001
37.257560872623195,24.517276690631984,-1150.4070885785202,12.330537309251351,67730498.35000001
37.257560872623195,24.517276690631984,-1150.4070885785202,12.330537309251351,67730498.35000001
