Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,T,MARKET_PRICE,MODEL_PRICE
194,/GDAX108000R0.EX,2020-05-15,2020-06-19,PUT ,10800.0,675.0,28.44,0.09582477754962354,10125.0,10125.693410349486
193,/GDAX108000F0.EX,2020-05-15,2020-06-19,CALL,10800.0,191.6,28.44,0.09582477754962354,0.0,0.0
291,/GDAX132500F0.EX,2020-04-21,2020-06-19,CALL,13250.0,0.8,28.61,0.16153319644079397,0.0,0.0
282,/GDAX130000R0.EX,2020-05-15,2020-06-19,PUT ,13000.0,2686.1,28.71,0.09582477754962354,10313.9,10314.734660605862
293,/GDAX133000F0.EX,2020-05-11,2020-06-19,CALL,13300.0,0.7,28.76,0.10677618069815195,0.0,0.0
191,/GDAX107500F0.EX,2020-05-15,2020-06-19,CALL,10750.0,211.8,28.86,0.09582477754962354,0.0,0.0
192,/GDAX107500R0.EX,2020-05-15,2020-06-19,PUT ,10750.0,645.1,28.87,0.09582477754962354,10104.9,10105.590200116387
295,/GDAX133500F0.EX,2020-03-12,2020-06-19,CALL,13350.0,0.7,28.88,0.27104722792607805,0.0,0.0
284,/GDAX130500R0.EX,2020-05-05,2020-06-19,PUT ,13050.0,2736.1,29.13,0.12320328542094455,10313.9,10314.977272387838
297,/GDAX134000F0.EX,2020-05-13,2020-06-19,CALL,13400.0,0.6,29.27,0.10130047912388775,0.0,0.0
190,/GDAX107000R0.EX,2020-05-15,2020-06-19,PUT ,10700.0,616.3,29.29,0.09582477754962354,10083.7,10084.386989883287
189,/GDAX107000F0.EX,2020-05-15,2020-06-19,CALL,10700.0,233.0,29.29,0.09582477754962354,0.0,0.0
299,/GDAX134500F0.EX,2020-05-06,2020-06-19,CALL,13450.0,0.6,29.35,0.12046543463381246,0.0,0.0
286,/GDAX131000R0.EX,2020-05-15,2020-06-19,PUT ,13100.0,2786.0,29.4,0.09582477754962354,10314.0,10314.841081072062
301,/GDAX135000F0.EX,2020-05-11,2020-06-19,CALL,13500.0,0.6,29.4,0.10677618069815195,0.0,0.0
188,/GDAX106500R0.EX,2020-05-15,2020-06-19,PUT ,10650.0,588.9,29.73,0.09582477754962354,10061.1,10061.783779650188
187,/GDAX106500F0.EX,2020-05-15,2020-06-19,CALL,10650.0,255.7,29.74,0.09582477754962354,0.0,0.0
303,/GDAX135500F0.EX,2020-04-15,2020-06-19,CALL,13550.0,0.6,29.78,0.17796030116358658,0.0,0.0
288,/GDAX131500R0.EX,2020-04-30,2020-06-19,PUT ,13150.0,2836.0,29.8,0.13689253935660506,10314.0,10315.206147029852
307,/GDAX136500F0.EX,2020-05-11,2020-06-19,CALL,13650.0,0.5,30.15,0.10677618069815195,0.0,0.0002053080145914543
305,/GDAX136000F0.EX,2020-05-15,2020-06-19,CALL,13600.0,0.5,30.16,0.09582477754962354,0.0,0.0004518546208513441
