Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,CF_CLOSE_y,DELTA,VEGA,THETA,GAMMA,DELTA_HEDGE,VEGA_HEDGE,THETA_HEDGE,GAMMA_HEDGE,Price_Change,Price_Change_Abs
113,/GDAX88000F0.EX,2020-03-24,2020-06-19,CALL,8800.0,1626.9,47.35,9700.57,0.9999966002396832,-0.0004212522981106,8.306449809217611,1.8189894035458565e-06,0.0,-0.0,0.0,0.0,0.0,0.0
355,/GDAX148500F0.EX,2020-03-24,2020-06-19,CALL,14850.0,0.2,34.79,9700.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,/GDAX149500F0.EX,2020-03-27,2020-06-19,CALL,14950.0,0.2,35.4,9632.52,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-68.04999999999927,68.04999999999927
95,/GDAX83500F0.EX,2020-03-27,2020-06-19,CALL,8350.0,2040.0,51.81,9632.52,0.9999999305364328,0.0003922480573237,7.956534364096569,6.366462912410498e-06,0.0,0.0,0.0,0.0,0.0,0.0
105,/GDAX86000F0.EX,2020-03-30,2020-06-19,CALL,8600.0,1808.6,49.29,9815.97,0.999999888879048,-1.6258988936588103e-05,8.270883786712147,-2.3739195509966943e-11,183.44997961486024,-0.002982711520417,1517.2936306723343,-4.3549554163034096e-09,183.4499999999989,183.4499999999989
312,/GDAX137500R0.EX,2020-04-01,2020-06-19,PUT ,13750.0,3436.1,34.08,9544.75,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-271.21999999999935,271.21999999999935
147,/GDAX96500F0.EX,2020-04-02,2020-06-19,CALL,9650.0,903.3,39.27,9570.82,0.1228914690532133,0.0037088023801674,-216.97318099127392,2.0623358703234158e-05,3.203780598217236,0.0966884780509644,-5656.490828442448,0.0005376509613933,26.06999999999971,26.06999999999971
353,/GDAX148000F0.EX,2020-04-02,2020-06-19,CALL,14800.0,0.2,34.49,9570.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,/GDAX100500F0.EX,2020-04-03,2020-06-19,CALL,10050.0,607.2,35.45,9525.77,0.0534711515220218,0.0013862180300418,-77.75126207925405,-7.52617027333473e-08,-2.4088753760670443,-0.0624491222533833,3502.694356670338,3.3905397081372405e-06,-45.04999999999927,45.04999999999927
250,/GDAX122000R0.EX,2020-04-06,2020-06-19,PUT ,12200.0,1888.5,24.19,10075.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.3999999999996,549.3999999999996
