PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
PUT ,79.69,0.006609081247258753,False
CALL,80.47,,False
PUT ,83.06,0.006607853444613683,False
CALL,83.6,,False
CALL,85.14,,False
PUT ,86.42,0.008258668800097856,False
PUT ,87.27,0.006606666925262126,False
PUT ,88.72,0.007156848659128764,False
PUT ,90.13,0.006973084885820109,False
PUT ,90.41,0.006422321536283238,False
CALL,90.57,inf,True
PUT ,92.7,0.013395378096214014,False
PUT ,93.82,0.009724842348594005,False
PUT ,94.76,0.00972466461404661,False
PUT ,95.43,0.009724478216545302,False
CALL,96.34,4.943775440620165e-06,False
PUT ,97.84,0.009724282506790949,False
CALL,98.39,5.463676237102251e-07,False
CALL,100.78,3.2457165997843675e-07,False
PUT ,102.66,0.006604647997141428,False
CALL,102.89,9.31244333286606e-08,False
CALL,105.36,0.4814624967679406,False
CALL,107.54,0.5231229166789446,False
CALL,110.11,6.545774761136911e-08,False
CALL,112.74,5.184572631585599e-07,False
CALL,115.42,1.8531426971666384e-07,False
CALL,118.17,0.2692213222883886,False
CALL,130.77,0.16070847514373796,False
PUT ,150.5,0.00917267939330035,False
CALL,203.25,3.089877110185652e-08,False
