Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,T,CF_CLOSE_y
119,/GDAX89500F0.EX,2020-04-06,2020-06-19,CALL,8950.0,1492.9,45.91,0.2026009582477755,10075.17
14,/GDAX44000R0.EX,2020-04-07,2020-06-19,PUT ,4400.0,1.2,92.7,0.1998631074606434,10356.7
27,/GDAX55000F0.EX,2020-04-08,2020-06-19,CALL,5500.0,4825.0,85.14,0.1971252566735113,10332.89
49,/GDAX68000F0.EX,2020-04-08,2020-06-19,CALL,6800.0,3536.3,67.59,0.1971252566735113,10332.89
314,/GDAX138000R0.EX,2020-04-09,2020-06-19,PUT ,13800.0,3486.1,34.44,0.1943874058863792,10564.74
143,/GDAX95500F0.EX,2020-04-14,2020-06-19,CALL,9550.0,982.9,40.22,0.1806981519507187,10696.56
73,/GDAX78000F0.EX,2020-04-14,2020-06-19,CALL,7800.0,2562.2,57.39,0.1806981519507187,10696.56
303,/GDAX135500F0.EX,2020-04-15,2020-06-19,CALL,13550.0,0.6,29.78,0.1779603011635865,10279.76
135,/GDAX93500F0.EX,2020-04-15,2020-06-19,CALL,9350.0,1147.1,42.14,0.1779603011635865,10279.76
349,/GDAX147000F0.EX,2020-04-16,2020-06-19,CALL,14700.0,0.2,34.96,0.1752224503764544,10301.54
256,/GDAX123500R0.EX,2020-04-16,2020-06-19,PUT ,12350.0,2037.4,24.86,0.1752224503764544,10301.54
345,/GDAX146000F0.EX,2020-04-16,2020-06-19,CALL,14600.0,0.2,34.32,0.1752224503764544,10301.54
363,/GDAX155000F0.EX,2020-04-17,2020-06-19,CALL,15500.0,0.2,38.64,0.1724845995893223,10625.78
300,/GDAX134500R0.EX,2020-04-17,2020-06-19,PUT ,13450.0,3136.0,31.84,0.1724845995893223,10625.78
123,/GDAX90500F0.EX,2020-04-17,2020-06-19,CALL,9050.0,1404.7,44.95,0.1724845995893223,10625.78
357,/GDAX149000F0.EX,2020-04-20,2020-06-19,CALL,14900.0,0.2,35.09,0.164271047227926,10675.9
362,/GDAX150000R0.EX,2020-04-20,2020-06-19,PUT ,15000.0,4686.8,43.64,0.164271047227926,10675.9
276,/GDAX128500R0.EX,2020-04-21,2020-06-19,PUT ,12850.0,2536.2,27.83,0.1615331964407939,10249.85
294,/GDAX133000R0.EX,2020-04-21,2020-06-19,PUT ,13300.0,2986.0,30.85,0.1615331964407939,10249.85
291,/GDAX132500F0.EX,2020-04-21,2020-06-19,CALL,13250.0,0.8,28.61,0.1615331964407939,10249.85
85,/GDAX81000F0.EX,2020-04-22,2020-06-19,CALL,8100.0,2275.4,54.33,0.1587953456536618,10415.03
89,/GDAX82000F0.EX,2020-04-22,2020-06-19,CALL,8200.0,2180.8,53.31,0.1587953456536618,10415.03
361,/GDAX150000F0.EX,2020-04-23,2020-06-19,CALL,15000.0,0.2,35.7,0.1560574948665297,10513.79
322,/GDAX140000R0.EX,2020-04-24,2020-06-19,PUT ,14000.0,3686.2,35.87,0.1533196440793976,10336.09
341,/GDAX145000F0.EX,2020-04-24,2020-06-19,CALL,14500.0,0.3,33.68,0.1533196440793976,10336.09
347,/GDAX146500F0.EX,2020-04-24,2020-06-19,CALL,14650.0,0.2,34.64,0.1533196440793976,10336.09
8,/GDAX41000R0.EX,2020-04-27,2020-06-19,PUT ,4100.0,0.8,95.43,0.1451060917180013,10659.99
6,/GDAX40000R0.EX,2020-04-27,2020-06-19,PUT ,4000.0,0.7,97.84,0.1451060917180013,10659.99
12,/GDAX43000R0.EX,2020-04-27,2020-06-19,PUT ,4300.0,1.0,93.82,0.1451060917180013,10659.99
10,/GDAX42000R0.EX,2020-04-27,2020-06-19,PUT ,4200.0,0.9,94.76,0.1451060917180013,10659.99
224,/GDAX115500R0.EX,2020-04-27,2020-06-19,PUT ,11550.0,1259.8,23.57,0.1451060917180013,10659.99
315,/GDAX138500F0.EX,2020-04-27,2020-06-19,CALL,13850.0,0.4,31.18,0.1451060917180013,10659.99
287,/GDAX131500F0.EX,2020-04-28,2020-06-19,CALL,13150.0,0.9,28.04,0.1423682409308692,10795.63
274,/GDAX128000R0.EX,2020-04-29,2020-06-19,PUT ,12800.0,2486.3,27.51,0.1396303901437371,11107.74
208,/GDAX111500R0.EX,2020-04-29,2020-06-19,PUT ,11150.0,918.0,25.78,0.1396303901437371,11107.74
2,/GDAX20000R0.EX,2020-04-30,2020-06-19,PUT ,2000.0,0.1,150.5,0.136892539356605,10861.64
335,/GDAX143500F0.EX,2020-04-30,2020-06-19,CALL,14350.0,0.3,32.71,0.136892539356605,10861.64
232,/GDAX117500R0.EX,2020-04-30,2020-06-19,PUT ,11750.0,1448.3,23.35,0.136892539356605,10861.64
109,/GDAX87000F0.EX,2020-04-30,2020-06-19,CALL,8700.0,1717.3,48.32,0.136892539356605,10861.64
228,/GDAX116500R0.EX,2020-04-30,2020-06-19,PUT ,11650.0,1353.2,23.41,0.136892539356605,10861.64
55,/GDAX72000F0.EX,2020-04-30,2020-06-19,CALL,7200.0,3144.1,63.46,0.136892539356605,10861.64
230,/GDAX117000R0.EX,2020-04-30,2020-06-19,PUT ,11700.0,1400.5,23.35,0.136892539356605,10861.64
288,/GDAX131500R0.EX,2020-04-30,2020-06-19,PUT ,13150.0,2836.0,29.8,0.136892539356605,10861.64
88,/GDAX81500R0.EX,2020-05-04,2020-06-19,PUT ,8150.0,59.4,53.52,0.1259411362080766,10466.8
25,/GDAX52000F0.EX,2020-05-04,2020-06-19,CALL,5200.0,5124.0,90.57,0.1259411362080766,10466.8
40,/GDAX63000R0.EX,2020-05-04,2020-06-19,PUT ,6300.0,10.0,71.09,0.1259411362080766,10466.8
364,/GDAX155000R0.EX,2020-05-04,2020-06-19,PUT ,15500.0,5187.1,47.43,0.1259411362080766,10466.8
220,/GDAX114500R0.EX,2020-05-04,2020-06-19,PUT ,11450.0,1168.7,23.86,0.1259411362080766,10466.8
38,/GDAX62000R0.EX,2020-05-04,2020-06-19,PUT ,6200.0,9.1,72.07,0.1259411362080766,10466.8
101,/GDAX85000F0.EX,2020-05-04,2020-06-19,CALL,8500.0,1900.6,50.29,0.1259411362080766,10466.8
292,/GDAX132500R0.EX,2020-05-05,2020-06-19,PUT ,13250.0,2936.0,30.45,0.1232032854209445,10729.46
24,/GDAX49000R0.EX,2020-05-05,2020-06-19,PUT ,4900.0,2.2,86.42,0.1232032854209445,10729.46
258,/GDAX124000R0.EX,2020-05-05,2020-06-19,PUT ,12400.0,2087.2,25.13,0.1232032854209445,10729.46
240,/GDAX119500R0.EX,2020-05-05,2020-06-19,PUT ,11950.0,1642.1,23.5,0.1232032854209445,10729.46
284,/GDAX130500R0.EX,2020-05-05,2020-06-19,PUT ,13050.0,2736.1,29.13,0.1232032854209445,10729.46
278,/GDAX129000R0.EX,2020-05-05,2020-06-19,PUT ,12900.0,2586.2,28.14,0.1232032854209445,10729.46
296,/GDAX133500R0.EX,2020-05-06,2020-06-19,PUT ,13350.0,3036.0,31.24,0.1204654346338124,10606.2
236,/GDAX118500R0.EX,2020-05-06,2020-06-19,PUT ,11850.0,1544.7,23.36,0.1204654346338124,10606.2
304,/GDAX135500R0.EX,2020-05-06,2020-06-19,PUT ,13550.0,3236.0,32.6,0.1204654346338124,10606.2
120,/GDAX89500R0.EX,2020-05-06,2020-06-19,PUT ,8950.0,124.9,45.79,0.1204654346338124,10606.2
299,/GDAX134500F0.EX,2020-05-06,2020-06-19,CALL,13450.0,0.6,29.35,0.1204654346338124,10606.2
