PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
CALL,58.44,inf,True
PUT ,58.44,5.076668169032726,True
PUT ,58.55,8.382379546241935,True
PUT ,58.93,4.931297718171868,False
CALL,58.97,inf,True
PUT ,59.39,5.074705252775648,True
CALL,59.48,inf,True
PUT ,59.88,4.929498087381504,False
CALL,60.0,inf,True
CALL,60.5,inf,True
PUT ,60.82,5.072077350609713,True
CALL,61.53,inf,True
PUT ,61.71,4.926229287731072,False
PUT ,61.89,8.329401962165264,True
CALL,62.52,inf,True
PUT ,62.59,5.068972809281658,True
CALL,63.46,inf,True
PUT ,64.4,4.922148252370075,False
PUT ,65.28,4.920996680511876,False
PUT ,65.37,102.51860546986077,True
CALL,65.46,inf,True
PUT ,66.2,4.919884328298461,False
CALL,66.49,inf,True
PUT ,67.11,5.4961987730938935,True
CALL,67.59,inf,True
PUT ,68.11,6.221250301784963,True
PUT ,68.53,8.806050997527471,True
CALL,68.69,inf,True
PUT ,69.12,4.917178837777378,False
CALL,69.89,inf,True
PUT ,70.15,5.060359978287172,True
CALL,71.03,inf,True
PUT ,71.09,6.509882540234749,True
PUT ,71.82,9.358928681157382,True
PUT ,72.07,6.509103076893844,True
CALL,72.32,inf,True
PUT ,73.1,4.914480373103687,False
CALL,73.55,inf,True
PUT ,74.23,4.913934541706301,False
CALL,74.85,inf,True
PUT ,76.2,4.912956391118682,False
CALL,76.23,inf,True
CALL,77.58,inf,True
PUT ,78.51,5.055917059643811,True
PUT ,79.69,5.055535926526463,True
CALL,80.47,inf,True
PUT ,83.06,5.0545967341054325,True
CALL,83.6,inf,True
CALL,85.14,,False
PUT ,86.42,6.356713232545573,True
PUT ,87.27,5.0536891203321455,True
PUT ,88.72,5.4858781043302836,True
PUT ,90.13,5.341334800314457,True
PUT ,90.41,4.90929226242511,False
CALL,90.57,inf,True
PUT ,92.7,10.512394600478459,True
PUT ,93.82,7.526734616288638,True
PUT ,94.76,7.5265970558250865,True
PUT ,95.43,7.5264527890434545,True
CALL,96.34,5.7339385109450346e-05,False
PUT ,97.84,7.5263013156197225,True
CALL,98.39,8.895775593138358,True
CALL,100.78,8.264540713951435e-06,False
PUT ,102.66,5.052144765868235,True
CALL,102.89,2.9542298893246307e-05,False
CALL,105.36,42.558337195813564,True
CALL,107.54,44.36388543486076,True
CALL,110.11,3.6655965170812055e-05,False
CALL,112.74,4.6648937878040516e-06,False
CALL,115.42,2.6012909541846374e-05,False
CALL,118.17,9.112146355533036e-07,False
CALL,130.77,1.8267338273901747e-06,False
PUT ,150.5,7.084662899410694,True
CALL,203.25,1.55231414673102,False
